#漢字	音標	解釋
□	mɔŋ1	帶黏性的半透明網狀物：lou4-6zou1～(蛛網)|豬腸～(豬網油)
課	wɵ3	
誶	ɬui3	
誼	ȵi4	
調	tiu4	
調	tiu6	
諂	tɕʰim2	
諄	tɕɐn1	
談	tɔm4	
諉	wɐi2	
請	tʰeŋ2	
諍	tɕa3	
諏	ɗɐu1	
諑	tɕɔk8	
諒	la6	
論	lɐn6	文：議～
論	lɐn1	白讀，單用：討論，順便談及
諗	nɐm2	
諛	jy4	
諜	tᴇɐ̯p10	
諞	pin5	
諡	ɕi6	
諢	wɐn6	
諤	ŋɔk10	
諦	ɗɐi3	
諧	ɔi4	
諫	kɔn3	
諭	jy6	
諮	ɗi1	
諱	wɐi3	
諳	ɔm3	
諶	ɕɐm4	
諷	foŋ2	
諸	tɕy1	
諺	ȵim6	
諼	jÿn1	
諾	nɔk10	
謀	mɐu4	
謁	jit7	
謂	wɐi6	
謇	kin2	
謊	wɔŋ1	
謎	mɐi6	
謐	mɐt9	
謔	ja2	
謖	ɕok7	
謙	jim1	
謚	ek7	笑聲。關於「皇帝死後追號」之義見「諡」
講	kɐŋ2	
謝	tɛ6	
謠	jiu4	
謦	kʰeŋ1	
謨	mu1	引自《廣西玉林話音系》（周成松，2003）
謫	ɗek7	
謬	mɐu3	
謳	ɐu1	
謹	tɕɐn2	
譁	wɔ4	
證	tɕeŋ3	
譎	kÿt7	
譏	ki1	
譖	tɕɐm3	
識	ɕek7	
識	ɕøk7	
譙	tiu4	
譚	tɔm4	
譜	pʰu2	
警	keŋ2	
譫	tɕim1	
譬	pʰi3	
譭	wɐi2	
譯	ek9	
議	ȵi5	
譴	jin2	
護	wu6	
譽	jy6	
譾	ɗin2	
讀	tok9	
變	ɓin3	
讎	ɕɐu4	～恨|报～
讓	ȵa6	
讖	tɕʰɐm3	
讚	ɗɔn3	
讜	ɗɔŋ2	
讞	ȵin5	
訁	ȵin4	
谷	kok7	
谿	kʰɐi1	
豁	wut7	
豆	tɐu6	
豇	kɐŋ1	
豈	hi2	
豉	ɕi6	
豊	lɐi5	
豌	wun2	
豎	ɕy6	
豎	ɕy5	白讀：～～睡
豐	foŋ1	
豔	jim6	
豕	ɕi2	
豚	jÿn4	
象	ta5	一種動物
象	ta6	印～
豪	ɵ̜u4	
豫	jy6	
豬	tɕy1	
豳	ɓɐn1	
豸	tɕi5	蟲～
豸	ɕɔi6	地名用字
豹	ɓɔu3	
貂	ɗiu1	
貅	jɐu1	
貊	ma6	
貌	mɐu6	
貌	mɔu6	又讀
貍	li4	
貓	mᴇɐ̯u1	
貔	pi4	
貘	ma6	
貝	ɓui3	
貞	tɕeŋ1	
負	fu6	
財	tɔi4	
貢	koŋ3	
貧	pɐn4	
貨	wɵ3	
販	fɔn3	
販	mᴇɐ̯n1	販子：菜～|果～|牛～
貪	tʰɔm1	
貫	kun3	
貫	kʷɔn3	見《玉林市志》
責	tɕa2	
貯	tɕy5	
貰	ɕi3	
貳	ȵi6	
貴	kʷɐi3	
貶	ɓᴇɐ̯n2	
貶	ɓin2	
買	mɔi5	
貸	tɔi6	
貺	kʷʰɔŋ3	
費	ɓɐi3	枉費：～我買咁多
費	fi3	
貼	tʰip7	
貽	ji4	
貿	mɐu6	
貿	mɔu6	又讀
賀	ɵ6	
賁	fɐn4	大；三足龜；簡策
賁	ɓɐn1	～門：同「奔」；姓
賁	fɐn6	通「忿」「奮」
賁	fɐn3	通「僨」
賁	ɓi3	文飾；華美；六十四卦之一
賂	lɔk8	
賃	ȵɐm6	
賄	wui2	《广西通志·汉语方言志》及1959年字表中的記音
賅	kɔi1	
資	ɗi1	
賈	kɔ2	姓
賈	ku2	商～
賊	tɐk9	
賊	tʰɐk9	又讀
賑	tɕɐn3	
賓	ɓɐn1	
賕	tɕɐu4	
賚	lɔi6	
賜	ɬy3	天官～福
賞	ɕa2	
賠	pui4	
賡	ka1	
賢	jin4	
賣	mɔi6	
賤	tin6	
賦	fu3	
賧	ɗɔm2	
質	tɕɐt7	
賫	ɗɐi1	
賬	tɕa3	
賭	ɗu2	
賴	lɔi6	
賺	tɕɔn6	
賻	fu6	
購	kɐu3	
賽	ɬɔi3	
賾	tɕa6	
贄	tɕi3	
贅	tɕui3	
贈	tɐŋ6	
贊	ɗɔn3	
贗	ȵɔn6	
贏	eŋ4	
贐	tɐn6	
贓	ɗɔŋ1	
贖	ɕok9	
贛	kɔm3	
赤	tɕʰek7	
赤	tʰek7	～腳
赦	ɕɛ3	
赧	nÿn2	皮膚因蚊子叮咬或過敏長出的疙瘩，很癢
赫	ha2	
赭	tɕɛ2	
走	ɗɐu2	
赳	tɕɐu2	
赴	fu3	
起	hi2	
趁	tɕʰɐn3	
趄	ɗy1	趑～
趄	tʰɛ3	歪斜；～趔
超	tɕʰiu1	
越	jøɐ̯t10	
趑	ɗi1	
趔	lɐi3	
趕	kɔn1	
趙	tɕiu5	
趟	tʰɔŋ3	
趣	tʰy3	
趨	tʰy1	
趲	ɗɔn2	移動，搬移
足	ɗok7	
趴	pʰɔ1	
趾	tɕi2	
趿	tʰᴇɐ̯p8	
跋	pɔt10	
跌	ɗit7	
跎	tɵ4	
跑	pʰɔu2	
跕	tʰᴇɐ̯p8	趿拉；拖～、～鞋：都指拖鞋
跚	ɕɔn1	
跛	ɓɐi1	
跛	ɓɵ2	
距	ky2	～離
距	ky5	雞～：雞的后趾
跟	kɐn1	
跡	ɗek7	
跤	kɔu1	
跨	kʷʰɔ1	
跪	kʷɐi6	
路	lu6	
跳	tiu4	白讀：～上～落|～獅頭
跳	tʰiu3	文讀：～繩|～髙|～遠|～躍
跺	ɗœ3	
踊	ȵoŋ5	
踏	tɔp10	
踐	ɗin2	
踐	tᴇɐ̯n6	白讀。跺腳
踝	wɔ5	
踞	ky2	
踢	tʰek7	
踩	tɕʰɔi2	
踩	ȵɔi2	白讀
踮	ɗim3	
踱	tɔk10	嫌天～地
踴	ȵoŋ5	
踵	tɕoŋ2	
踽	ky2	
蹀	tᴇɐ̯p10	
蹄	tɐi4	
蹇	kin2	
蹈	tɵ̜u6	
蹉	tʰɵ1	
蹋	tʰɔp8	
蹌	tʰa1	
蹙	tʰok7	
蹟	ɗek7	
蹣	pɔn4	
蹤	ɗoŋ1	
蹦	ɓɐŋ3	
蹧	ɗɵ̜u1	
蹬	ɗɐŋ1	
蹲	ɗÿn1	
蹴	tʰok7	
蹺	kʰᴇɐ̯u3	玉林有疊韻詞 kat7 keu3與「蹊蹺」同義
蹼	ɓok7	
蹽	liu1	跑
躁	tʰɵ̜u3	
躇	tɕy4	
躈	kʰᴇɐ̯u3	屁股
躊	tɕɐu4	
躍	ȵa6	
躞	ɬᴇɐ̯p8	
躡	nᴇɐ̯p10	
身	ɕɐn1	
躬	koŋ1	
躲	ɗœ2	
躺	tʰɔŋ2	
軀	kʰy1	
車	tɕʰɛ1	单～
車	ky1	象棋
軋	ɔt8	
軌	kʷɐi2	
軍	kʷɐn1	
軎	wɐi6	
軒	jin1	
軔	ȵɐn6	
軛	a2	
軟	ȵÿn5	
軤	wu1	
軫	tɕɐn2	
軲	ku1	
軸	tɕok9	
軹	tɕy1	
軺	jiu4	
軻	kʰɵ1	
軼	jɐt9	
軾	ɕek7	
較	kɔu2	
輅	lu6	
輇	tÿn4	
載	ɗɔi2	年
載	ɗɔi3	裝～|記～
輊	tɕi3	
輒	tɕip7	
輓	wɔn2	
輔	pʰu2	
輕	heŋ1	
輛	la2	
輜	ɗi1	
輝	kʷʰɐi1	
輞	mɔŋ5	
輟	tɕÿt7	
輦	lin2	
輩	ɓui3	
輪	lɐn4	
輯	tʰɐp7	
輳	tʰɐu3	
輸	ɕy1	
輺	ɗi1	
輻	fok7	
輾	tɕin2	
輿	jy5	
轂	kok7	
轄	kɔt8	
轄	ɔt8	
轅	jÿn4	
轆	lok7	車～：車輪
轉	tɕÿn2	
轉	tɕÿn3	
轍	tɕit7	
轎	kiu6	
轔	lɐn4	
轔	lin2	
轟	pʰa1	「抨」的訓讀
轡	ɓi3	
轢	lek9	
轤	lu4	
辛	ɬɐn1	
辜	ku1	
辣	lɔt10	
辦	pɔn6	
辨	pin6	
辭	ti4	
辮	pin5	
辯	pin6	
辰	ɕɐn4	
辱	ȵok9	
農	noŋ4	
辵	tɕʰɔk8	
辶	tɕʰɔk8	
迂	jy1	
迄	ɐt9	
迅	ɬɐn3	
迎	ŋeŋ4	
近	kɐn5	
迓	ȵɔ6	
返	fɔn1	口語
返	fɔn2	
迕	ŋ̍5	
迢	tiu4	
迤	ji4	
迥	kʷeŋ2	
迦	kɔ1	
迨	tɔi5	
迪	tek9	
迫	ɓek7	
迭	tᴇɐ̯p10	
述	ɕɐt9	
迴	wui4	
迷	mɐi4	
迸	ɓa3	
迺	nɔi5	
追	tɕui1	
退	tʰui3	
送	ɬoŋ3	
逃	tɵ̜u4	
逄	pɐŋ4	
逅	ɐu6	
逆	ŋek9	
逋	ɓu1	
逍	ɬiu1	
透	tʰɐu3	
逐	ɗok9	逐個，逐一
逐	ɗok7	白讀：～誃(赶走)
逐	tɕok9	文讀：驅～
逑	tɕɐu4	
途	tu4	
逕	keŋ3	
逖	tʰek7	
逗	ɗɐu3	逗小孩
逗	tɐu6	～號
這	tɕɛ3	
通	tʰoŋ1	
逛	kʷɔŋ6	
逛	kʷeŋ6	
逝	ɕi6	
逝	ɕi3	
逞	tɕʰeŋ2	
速	ɬok7	文讀
速	tʰok7	
造	tʰɵ̜u3	～詣|～訪|～次|登峰～極
造	tɵ̜u6	農作物一年成熟的次數：一年兩～
造	tɵ̜u5	創～
逡	tʰɐn1	
逢	foŋ4	
連	lin4	
逭	kun6	
逮	tɔi6	
逯	lok9	
週	tɕɐu1	
進	ɗɐn3	
逵	kʷɐi4	
逶	wɐi1	
逸	jɐt9	
逼	ɓek7	
逾	jy6	
遁	tɐn6	
遂	tɕui6	半邊～：半身不遂
遄	ɕÿn4	
遇	ȵy6	
遊	jɐu4	
運	wɐn6	
遍	pʰin3	
過	kʷɵ3	
遏	ɔt8	
遐	ɔ4	
遑	wɔŋ4	
遒	tɐu4	
道	tɵ̜u6	
達	tɔt10	
違	wɐi4	
遘	kɐu3	
遥	jiu4	
遛	lɐu3	
遜	ɬÿn3	
遞	tɐi6	
遠	jÿn5	
遢	tʰɔt8	
遣	jin2	
遨	ŋɵ̜u4	
適	ɕek7	
遭	ɗɵ̜u1	
遮	tɕɛ1	
遰	ɗɐi2	去
遲	tɕi4	
遴	lɐn4	
遵	ɗÿn1	
遷	tʰim1	
選	ɬÿn2	
遺	ji4	
遺	jui6	送
遼	liu4	
遽	ky6	
避	pi6	
邀	jiu1	
邁	mɔi6	
邁	mɔn6	見1959年字表
邂	ɔi6	
邃	ɬui3	
還	wɔn4	
邇	ni5	
邈	miu5	
邊	ɓin1	
邋	lɔt10	
邏	lɵ4	
邐	li5	
邑	jɐp7	
邕	joŋ1	
邗	ɔn4	
邙	mɔŋ4	
邛	koŋ4	
邡	fɔŋ1	
那	nɔ6	
邦	ɓɐŋ1	白讀
邦	ɓɔŋ1	文讀
邪	jɛ4	莫～|～馬臺
邪	tɛ4	
邰	tʰɔi1	
邱	jɐu1	
邳	pi4	
邴	ɓeŋ2	
邵	ɕiu6	
邶	pui6	
邸	ɗɐi2	㕔～
邾	tɕy1	
郁	jok7	
郅	tɕɐt7	
郇	ɬÿn1	
郊	kɔu1	
郎	lɔŋ4	
郗	tɕʰi1	
郛	fu1	
郜	kɵ̜u3	
郝	ɵ̜u6	
郟	kɔp8	
郡	kʷɐn6	
郢	eŋ5	
郤	kʷʰek7	
部	pu6	
郫	pi4	
郭	kʷʰɔk8	
郯	tɔm4	
郵	jɐu4	
都	ɗu1	
郾	jin2	
鄂	ŋɔk10	
鄄	kÿn3	
鄆	wɐn6	
鄉	ja1	
鄒	ɗɐu1	
鄔	wu1	
鄙	pʰi2	
鄞	ŋɐn4	
鄢	jin1	
鄣	tɕa1	
鄧	tɐŋ6	
鄭	tɕeŋ6	
鄯	ɕin6	
鄰	lɐn4	
鄱	pɵ4	
鄴	ȵᴇɐ̯p10	
鄶	kʷɔi3	
鄹	tɕɐu1	
鄺	kʷʰɔŋ3	
酃	leŋ4	
酆	foŋ1	
酈	li4	
酉	jɐu5	
酋	tɐu4	
酌	tɕa2	
配	pʰui3	
酏	ji4	
酒	ɗɐu2	
酚	fɐn1	
酞	tʰɔi3	
酣	hɐm1	
酥	ɬu1	
酪	lɔk8	
酬	ɕɐu4	
酮	toŋ4	
酯	tɕi2	
酰	ɬin1	
酵	hɔu1	
酷	ɵ̜u6	
酸	ɬÿn1	
醃	jip7	
醇	ɕɐn4	
醉	ɗui3	
醋	tʰu3	
醌	kʷʰɐn1	
醍	tɐi4	
醐	wu4	
醒	ɬeŋ2	
醚	mɐi4	
醛	tÿn4	
醜	tɕʰɐu2	
醞	wɐn2	
醣	tɔŋ4	
醫	ji1	
醬	ɗa3	
醮	ɗiu3	
醺	wɐn1	
釀	ȵa6	
釁	jɐn3	
釃	ɕɐi1	
采	tʰɔi2	
釉	jɐu6	
釋	ɕek7	
里	li5	
重	tɕoŋ5	輕～，嚴～
重	tɕoŋ4	～複
野	jɛ5	
量	la4	動詞
量	la6	名詞
釐	li1	
金	kɐm1	異讀
金	tɕɐm1	
釒	tɕɐm1	
釓	kɔt8	
釔	jit7	
釕	liu5	
釗	tɕiu1	
釘	ɗeŋ1	名詞：鐵～
釘	ɗeŋ3	動詞：～起身|着～（被釘上棺材板了，婉稱死）
釙	ɓɵ1	
針	tɕɐm1	
釣	ɗiu3	
釤	ɕɔm1	
釦	kʰɐu3	紐～。 又《集韻》丘堠切，音𡨥。義同。
釧	tɕʰÿn3	
釩	fɔn4	
釵	tɕʰɔ1	
釷	tʰu2	
釹	ny5	
鈀	ɓɔ2	
鈁	fɔŋ1	
鈄	tʰɐu2	
鈇	fu1	
鈈	ɓɐt7	
鈉	nɔp10	
鈍	tɐn6	
鈐	kim4	
鈑	ɓɔn2	
鈔	tɕʰɔu1	
鈕	nɐu5	
鈞	kʷɐn1	
鈣	kɔi3	
鈥	wɵ2	
鈦	tʰɔi3	
鈧	kʰɔŋ3	
鈩	lu4	
鈮	ni4	
鈰	ɕi5	
鈳	kʰɵ1	
鈴	leŋ4	
鈴	leŋ1	口語讀音
鈷	ku2	
鈸	pɔt10	
鈹	pi4	
鈺	ȵok9	
鈽	ɓu3	
鈾	jɐu4	
鈿	tin6	
鉀	kɔp8	
鉅	ky5	
鉈	tʰɔ1	
鉉	jÿn5	
鉍	ɓi3	
鉑	pɔk10	
鉕	pʰɵ2	
鉗	kᴇɐ̯m4	
鉛	jÿn4	
鉝	lɐp9	
鉞	jøɐ̯t10	
鉢	ɓut7	
鉤	kʰɐu1	～刀：一種彎刀
鉤	kɐu1	用彎刀收割：～禾
鉤	ŋɐu1	鉤子
鉦	tɕeŋ1	
鉨	ni5	
鉬	mok9	
鉭	tʰɔn2	
鉮	ɕɐn1	
鉲	kʰɔ2	
鉺	ȵi5	
鉻	kɔk8	
鉿	hɔp8	
銀	ŋɐn4	
銃	tɕʰoŋ3	
銅	toŋ4	
銎	hoŋ1	
銓	tÿn4	
銖	tɕy1	
銘	meŋ4	
銚	jiu4	大鋤；姓
銚	tiu4	長矛
銚	tiu6	煎藥或燒水用的器具
銚	tʰiu1	鍬
銜	ɔm4	
銠	lɵ̜u5	
銣	ɕy4	
銥	ji1	
銦	ɐn1	
銨	ɔn2	
銩	ɗiu1	
銪	jɐu5	
銫	ɕek7	
銬	kʰɐu3	
銱	ɗiu3	
銲	ŋɔn6	
銳	jui6	
銷	ɬiu1	
銻	tʰɐi1	鋁
銼	tʰœ3	
鋁	ly5	
鋂	mui4	
鋃	lɔŋ4	
鋅	ɬɐn1	
鋇	ɓui3	
鋈	jok7	
鋌	teŋ5	
鋏	kip7	
鋒	foŋ1	
鋝	løɐ̯t10	
鋟	tʰim1	
鋣	jɛ4	
鋤	tɕɵ4	
鋥	tɕa6	
鋦	kok9	
鋨	ŋɵ4	
鋪	pʰu1	動詞
鋪	pʰu3	名詞
鋮	ɕeŋ4	
鋯	kɵ̜u3	
鋰	li4	
鋱	tʰɐk7	
鋶	lɐu5	
鋸	ky3	
鋼	kɔŋ3	
錀	lɐn4	
錁	kʷʰɵ3	
錄	lok9	
錆	tʰa1	
錇	pui4	
錈	kÿn2	
錐	tɕui1	
錐	ȵui1	白讀
錒	a1	
錕	kʷʰɐn1	
錘	tɕui4	
錙	ɗi1	
錚	tɕa1	
錛	ɓɐn1	
錟	tɔm4	
錢	tin4	
錦	kɐm2	異讀
錦	tɕɐm2	
錨	mɐu4	
錩	tɕʰa1	
錫	ɬek7	
錮	ku3	
錯	tʰɔk8	
錳	ma5	
錶	ɓiu1	
錸	lɔi4	
錼	nɔi6	
鍀	ɗɐk7	
鍆	mun4	
鍇	kʰɔi2	
鍊	lin6	
鍋	kʷɵ1	
鍍	tu6	
鍔	ŋɔk10	
鍘	tɕʰɐk7	
鍛	tÿn6	
鍤	tɕʰɔp8	
鍥	kʰit7	
鍩	nɔk10	
鍪	mɐu4	
鍰	wɔn4	
鍵	kin6	
鍶	ɬi1	
鍺	tɕɛ2	
鍾	tɕoŋ1	
鍿	ɗi1	
鎂	mi5	
鎄	ɔi1	
鎇	mi4	
鎏	lɐu4	
鎓	oŋ1	
鎔	joŋ4	
鎖	ɬœ2	
鎗	tʰa1	
鎘	ka2	
鎚	tɕui4	
鎢	wu1	
鎣	weŋ4	
鎦	lɐu4	
鎧	hɔi2	
鎩	ɕɔt8	
鎪	ɬɐu1	
鎮	tɕɐn3	
鎰	jɐt9	
鎳	nᴇɐ̯p10	
鎵	kɔ1	
鎶	kɵ1	
鎿	nɔ4	
鏃	tok9	
鏈	lin6	
鏊	ŋɵ̜u6	
鏌	mɔk10	
鏍	lœ4	
鏑	ɗek7	
鏖	ɵ̜u1	
鏗	kʰeŋ1	擬擊鑼聲
鏗	hɐŋ1	鏗鏘
鏘	tʰa1	
鏜	tʰɔŋ1	
鏝	mun4	
鏞	joŋ4	
鏟	tɕʰɔn2	
鏡	keŋ3	
鏢	ɓiu1	
鏤	lɐu1	
鏨	tɕɔm4	
鏵	wɔ4	
鏷	pok9	
鏹	ka2	
鏻	lɐn4	
鏽	ɬɐu3	
鐃	nɔu4	
鐋	tʰɔŋ3	批～
鐒	lɵ̜u4	
鐓	tui6	
鐔	tɐm4	
鐗	kɔn3	車～
鐗	kɔn2	兵器
鐘	tɕoŋ1	
鐙	ɗɐŋ3	
鐝	kʷʰɐk7	掘
鐠	pʰu2	
鐦	hɔi1	
鐧	kɔn3	車～
鐧	kɔn2	兵器
鐨	fi3	
鐫	ɗÿn1	
鐮	lim4	
鐲	tɕok7	
鐳	lui4	
鐵	tʰit7	
鐸	tɔk10	
鐺	tɕʰa1	
鐽	tɔt10	
鐾	pi6	
鐿	ji3	
鑄	tɕy3	
鑊	wɔk10	
鑌	ɓɐn1	
鑑	kɔm3	
鑔	tɕʰᴇɐ̯m3	訓讀
鑠	ɕa6	
鑣	ɓiu1	
鑥	lu5	
鑪	lu4	
鑫	hɐm1	
鑭	lɔn4	
鑰	ja6	
鑱	tɕɔm4	
鑲	ɬa1	
鑷	nᴇɐ̯p8	
鑹	tʰÿn3	
鑼	lɵ4	
鑽	ɗÿn1	
鑽	ɗÿn3	
鑾	lÿn4	
鑿	tɔk10	
钁	kʷʰɐk7	掘
釒	tɕɐm1	
長	tɕa4	～短
長	tɕa2	～大|年～
門	mun4	
閂	ɕɔn1	
閃	ɕᴇɐ̯m2	白讀，單用。意爲「躱閃」
閃	ɕim2	
閆	jim4	
閉	ɓɐi3	
開	hɔi1	
閌	kʰɔŋ3	
閎	oŋ4	
閏	ȵɐn6	
閒	ɔn4	
間	kɔn1	
間	kɔn3	
閔	mɐn5	
閘	tɕɔp10	
閡	kɔi1	
閣	kɔk8	
閤	kɔp8	
閨	kʷɐi1	
閩	mɐn5	
閫	kʷʰɐn2	
閬	lɔŋ6	
閭	ly4	
閱	jøɐ̯t10	
閶	tɕʰa1	
閻	ȵim4	
閼	ɔt8	阻塞
閼	jin1	～支：匈奴妻
閽	wun1	
閾	wek9	
閿	mɐn4	
闃	kʷʰek7	
闆	ɓɔn2	
闈	wɐi4	
闊	wut7	
闋	kʰÿt7	
闌	lɔn4	
闐	tin4	
闔	ɔp10	
闕	kʰÿt7	
闖	tʰɔŋ2	
闖	tɕʰɔŋ2	
關	kʷɔn1	
闞	hɔm3	
闡	tɕʰin2	
闢	pʰek7	
闥	tʰɔt8	
阜	fɐu6	
阝	fɐu6	在左。同「阜」
阝	jɐp7	在右，同「邑」
阡	tʰin1	
阢	ŋɐt9	
阪	ɓɔn2	
阮	ȵÿn5	
阱	teŋ5	
防	fɔŋ4	
阻	tɕɵ2	白讀：～手～腳
阻	tɕu2	文讀：～礙
阼	tu6	
阽	ɗim3	
阿	ɔ1	譯音用：～拉伯|～根廷
阿	ɵ1	～胶|～諛|～斗
阿	a2	～姨|～叔。俗亦作「亞」
陀	tɵ4	
陂	ɓi1	
附	fu6	
陋	lɐu6	
陌	ɓa2	
降	kɐŋ3	～落|投～
限	ɔn5	
陔	kɔi1	
陘	eŋ4	
陛	pi5	
陝	ɕim2	
陟	tɕek7	
陡	ɗɐu2	
院	jÿn6	
陣	tɕɐn6	
除	tɕy4	
陪	ɓui1	連詞。就着……一起，跟……一塊儿
陪	pui4	陪伴，伴隨
陬	ɗɐu1	
陰	jɐm1	
陲	ɕui4	
陳	tɕɐn4	
陴	pi4	
陵	leŋ4	
陶	tɵ̜u4	
陷	ɔm6	
陸	lok9	
陽	ja4	
隅	ȵy4	
隆	loŋ4	
隈	wui1	
隉	nᴇɐ̯t10	
隊	tui6	
隋	tui4	
隍	wɔŋ4	
階	kɔi1	
隔	ka2	
隕	wɐn5	
隗	ŋɐi6	
隘	ɔi3	
隙	kʷʰek7	或訓讀自「緎」
際	ɗɐi3	
障	tɕa3	
隧	ɬui6	
隨	tui4	
險	jim2	
隰	tɐp9	
隱	jɐn2	
隳	wɐi1	
隴	loŋ5	
隸	tɐi6	
隹	tɕui1	
隻	tɕek7	
隼	ɬɐn2	
雀	ɗa2	單用，泛指所有鳥
雀	tʰa2	用於合成詞。麻～：麻將，一种遊戲｜一种鳥。孔～：一种鳥。
雁	ȵɔn6	
雄	oŋ4	
雅	ȵɔ5	
集	tɐp9	
雇	ku3	
雉	tɕi5	
雋	tÿn5	
雌	tʰi1	
雍	joŋ1	
雎	ɗy1	
雒	lɔk8	
雕	ɗiu1	
雖	ɬui1	
雙	ɕɔŋ1	
雛	tɕu4	
雜	tɔp10	
雞	kɐi1	
離	li4	
難	nɔn4	困～
難	nɔn6	災～
雨	jy5	
雩	jy4	
雪	ɬÿt7	
雯	mɐn4	
雲	wɐn4	
零	leŋ4	
雷	lui4	
雷	lu4	～祖廟
雹	ɓɐk7	白讀：～子
雹	ɓɔu1	冰～
電	tin6	
需	ɬy1	
霄	ɬiu1	
霅	jɔp10	閃爍
霆	teŋ4	
震	tɕɐn3	
霈	pʰui3	
霉	mui4	
霍	kʰɔk8	
霎	ɕɔp8	
霏	fi1	
霓	ȵi1	見《玉林话研究》
霖	lɐm4	
霜	ɕɔŋ1	
霞	ɔ4	
霧	mu6	
霪	jɐm4	
霰	ɬin3	
露	lu6	
霸	ɓɔ3	
霹	pʰek7	
霽	ɗɐi3	
霾	mɔi4	
靂	lek9	
靄	ɔi2	
靈	leŋ4	
青	tʰeŋ1	
靖	teŋ5	
靖	teŋ6	六～ ：地名，在北流，原名「六淨」
靚	teŋ6	
靚	la3	方言俗借字，意爲「好看」
靛	tin6	
靛	teŋ6	又讀
靜	teŋ5	
非	fi1	
靠	kʰɔu3	
靡	mi5	
面	min6	
靦	min5	
靨	jip7	
革	ka2	
靳	kʰɐn2	吝嗇
靴	hœ1	
靶	ɓɔ3	
靼	ɗɔt8	
鞀	tɵ̜u4	
鞅	ja2	
鞉	tɵ̜u4	
鞋	ɔi4	
鞍	ɔn1	
鞏	koŋ2	
鞏	kʰoŋ2	
鞔	mun1	
鞘	ɬiu3	
鞠	kok7	
鞣	jɐu4	
鞫	kok7	
鞭	ɓin1	
鞲	kɐu1	
鞽	kiu4	
韁	kʰa1	
韃	tʰɔt8	
韉	ɗin1	
韋	wɐi4	
韌	ȵɐn6	見《玉林话研究》
韓	ɔn4	
韙	wɐi5	
韜	tʰɵ̜u1	
韝	kɐu1	
韞	wɐn1	
韭	tɕɐu2	
音	jɐm1	
韶	ɕiu4	
韻	wɐn6	
響	ja2	
頁	jᴇɐ̯p10	
頂	ɗeŋ2	
頃	kʰeŋ1	～刻
頃	kʰeŋ2	公～
項	ɐŋ5	
順	ɕɐn6	「～～利利」中第二個順一般讀陽平
頇	hɔn1	
須	ɬy1	
頊	jok7	
頌	toŋ6	
頎	ki4	
頏	ɔŋ4	
預	jy6	準備
預	jy5	干～|參～。見《玉林话研究》
頑	ŋɔn4	
頒	ɓɔn1	
頒	pʰɔn3	
頓	ɗɐn3	
頗	pʰɵ2	
領	leŋ5	
頜	ɔp10	
頡	kit7	
頤	ji4	
頦	ɔi4	
頭	tɐu4	
頰	kɔp8	
頷	ɔm5	
頷	ȵɔm2	顑～：見「顑」
頸	keŋ2	
頹	tui4	
頻	pɐn4	
顆	wɵ2	
題	tɐi4	
額	ȵa6	
顎	ŋɔk10	
顏	ȵɔn4	
顑	kʰɔm2	～頷：高又瘦的樣子
顓	tɕÿn1	
願	ȵÿn6	
顙	ɬɔŋ2	
顛	ɗin1	
類	lui6	
顢	mun4	
顥	ɵ̜u6	
顧	ku3	
顫	tɕɐn3	
顬	ɕy4	
顯	jin2	
顰	pɐn4	
顱	lu4	
顳	ȵᴇɐ̯p10	
顴	wun1	
風	foŋ1	
颮	ɓiu1	
颯	ɕɔp8	
颱	tɔi4	
颳	kʷɔt8	
颶	ky6	
颼	ɕœ4	
飄	pʰiu1	
飆	ɓiu1	
飛	fi1	
食	ti6	飼
食	ɕek9	
飠	ɕek9	
飢	ki1	
飧	ɬÿn1	
飩	tʰɐn1	
飪	ȵɐm6	
飫	jy3	
飭	tɕʰek7	
飯	fɔn6	
飲	ȵɐm2	
飴	ji4	
飼	ti4	
飽	ɓɔu2	
飾	ɕek7	
餃	kɔu2	
餅	ɓeŋ2	
餉	ja2	
養	ja5	
餌	ȵi5	
餐	tʰɔn1	
餑	pɵ6	
餒	ȵui2	
餓	ŋɵ6	
餘	jy4	
餚	ȵɔu4	
餛	wɐn4	
餞	ɗin2	
餡	ɔm6	
館	kun2	
餮	tʰip7	
餳	teŋ4	
餵	wɐi3	
餷	tɕɔ1	
餼	hi3	
餽	kʷɐi6	
餾	lɐu4	
餿	ɕɐu1	
饃	mɔk10	
饅	mɔn6	
饈	ɬɐu1	
饉	tɕɐn2	
饊	ɬɔn2	
饋	kʷɐi6	
饌	tɕÿn6	
饑	ki1	
饒	ȵiu4	
饔	joŋ1	
饕	tʰɵ̜u1	
饗	ja2	
饜	jim3	
饞	ɕɔm4	
饢	nɔŋ4	
飠	ɕek9	
首	ɕɐu2	
馗	kʷɐi4	
馘	kʷek7	
香	ja1	
馥	fok9	
馨	heŋ1	
馬	mɔ5	
馭	ȵy6	
馮	foŋ4	
馱	tɵ4	
馳	tɕi4	
馴	wɐn3	
駁	ɓɔk8	
駐	tɕy3	
駑	nu4	
駒	kʰy1	
駔	ɗɔŋ2	居中介紹買賣馬隻的人
駔	tu5	駿馬
駕	kɔ3	
駘	tɔi4	
駙	fu6	
駛	ɕɐi2	白讀
駛	ɕi2	文讀
駝	tɵ4	
駟	ɬi3	
駢	pin4	
駭	ɔi5	
駱	lɔk8	
駿	ɗɐn3	
