#漢字	音標	解釋
材	ze2	
村	tsʰø1	
杖	dʑiɛ4	
杜	dəy4	
束	ɕyo7	
條	duɔ2	
來	lei2	
來	le2	文读
楊	ɦiɛ2	
杭	ɦo2	
杯	pai1	
杰	dʑie8	
松	soŋ1	
板	pɔ3	
極	dʑi8	
構	kau5	
枕	tsaŋ3	
林	leŋ2	
果	ku3	
枝	tɕi1	
棗	tsɛ3	
槍	tɕʰiɛ1	
楓	foŋ1	
枯	kʰu1	
架	ko5	
柄	peŋ5	
柏	pa7	
某	mu4	
柑	ke1	
染	ȵie4	
柔	zəu2	
柚	ɦiau6	
櫃	dʑy6	
柬	kɔ3	
柯	kʰu1	
柱	dʑy4	
柳	ləu4	
柴	za2	
查	dzo2	
柿	zɿ4	
標	pie1	
棧	dzɔ6	
棟	toŋ5	
欄	lɔ2	
樹	zəy6	
栓	sø1	
栖	tɕʰi1	
栗	le8	
校	kɔ5	～对
校	ɦɔ6	
株	tɕy1	
樣	ɦiɛ6	
核	ɦe8	
根	kø1	
格	ka7	
栽	tse1	
桂	tɕy5	
桅	vai2	
案	ˀø5	
桌	tɕyo7	
桐	doŋ2	
桑	so1	
橋	dʑyø2	
槳	tɕiɛ3	
樁	tɕyo1	
桶	tʰoŋ3	
桶	doŋ4	
梁	liɛ2	
梅	me2	
梓	tsɿ3	
梗	ka3	
夢	moŋ6	
梧	ŋ2	
梨	lei2	
梭	səu1	
梯	tʰei1	
械	ɦa6	
梳	sɿ1	头～
檢	tɕie3	
棉	mie2	
棋	dʑi2	
棍	kaŋ5	
棒	bɔ4	
棚	ba2	
棚	boŋ2	文读
森	saŋ1	
棵	kʰu1	
棺	kyø1	
椅	i3	
植	dʑi8	
椒	tɕyø1	
椽	dʑyø2	
楚	tsʰəu3	
楦	ɕyø5	
楷	kʰa3	
樓	lau2	
概	ke5	
欖	lɔ4	
榆	ɦy2	
榜	puo3	
榨	tso5	
