%	又音
？	存疑
xɤɯ5	佝訽詬吼㖃豞䪷怐蔻蔲㰯㖃后郈厚𡦩（厚）垕後𢔏（後）𨒥訽𣣠睺鍭后洉厚𡦩（厚）逅後𢔏（後）侯（閩~）𥎦（侯）矦（閩~）候𠋫鄇堠䞧䞀鮜鱟
ʔɤɯ1	剾摳瞘䁱蓲漚甌歐膒䙔櫙謳鏂鷗嘔區醧熰慪
ʔɤɯ2	□（諾）
ʔɤɯ3	㸸塸歐毆䙔𠙶嘔𠴰㰶𧖼𣢨𠴰敺
ʔɤɯ5	𠹝漚渥䙔𣓕𣉾蓲熰
tsɤɯ1	陬掫棷緅趣𣠏調侜啁矪𥎻𧻖輈𩢸盩譸𡆓（譸）𡃮（譸）𧪀（譸）咮齱𠿈䑼騶郰陬菆棷鯫箃緅鄹𨃘黀𪎪（黀）舟州𠄓（州）𠃕（州）𠛏（州）𣧓（州）周𠱬（周）𠄗（周）洲郮週婤𥺝輖賙
tsɤɯ2	□（不順 似當書扭）
tsɤɯ3	走㞫（走）赱扭肘疛𤶡搊掫𧌗晭箒𧳜鯞帚棷趣
tsɤɯ5	走㞫（走）赱族㞺（族）𥎩（族）𥎼（族）𥏁（族）奏𡙹（奏）𡲯（奏）𡴨（奏）𢽥（奏）揍楱㔌䠫扭（陟救切）晝啄噣咮注𦡴鮦紂葤䈙棸懤㿒𤺜（㿒）繇疛伷宙逐冑胄酎䛆𩊄駎籀甃㼙（甃）㾭皺𤿥𤿿縐䐢𥣙㑳騶僽驟椆䯾呪咒祝𥘱（祝）鄒
tsʰɤɯ1	䜅抽𢭆㨨瘳惆𥈌婤妯𢬆搊㮲醔篘𥻤謅犨犫
tsʰɤɯ2	鯫㔌𥲅抽紬菗𢃖椆𠷎稠裯綢𨞪儔𠍻（儔）薵幬𢤉懤𦡴燽疇𢑔（疇）𠾉（疇）籌躊𪆇𪇘檮䬞鯈怞鮋棸愁㵞酬詶𨞪雔𣀓𣀘𣫐醻讎𢢧（讎）𠵁（讎）𢛇（讎）魗鮋
tsʰɤɯ3	取趣棷騶䪮丑吜杽杻瞅𩋄𩌄醜媿（醜）𥆞（醜）𧃝魗
tsʰɤɯ5	湊楱腠輳𧱪𪉮族㞺（族）𥎩（族）𥎼（族）𥏁（族）蔟嗾畜嘼（畜）俞兪遚䔏簉臭殠
sɤɯ1	鏉𠘂摗鎪䩳𩌱𩮶涑𡠼犙𦺋捜鄋𨜛搜𢯱𢅢（𢯱）蒐獀廋溲螋䗏𧽏醙䤇𨤇（䤇）鎪䤹餿𩜯䐹颼䬒騪䮟𣸈𪌲（𣸈）𧼭犙收㧃（收）
sɤɯ2	□（振）
sɤɯ3	操𥈃籔駷廋廀叟叜傁𠊯𠋢𠻛瞍嗾䏂𦖪謏藪𧩮棷溲𣸈𪌲（𣸈）手𠂿扌守𡬮（守）𡬴（守）𦣻首𥃻（首）𩠐艏䭭
sɤɯ5	鏉漱族㞺（族）𥎩（族）𥎼（族）𥏁（族）嗾謏欶嗽瘶瘦𤸃鏉漱嗖𨞪受𠭧（受）壽𦓃（壽）𦓂（壽）𠭵（壽）𠷎（壽）綬璹𠩱（璹）詶授㖟售壽𦓃（壽）𦓂（壽）𠭵（壽）𠷎（壽）綬㥅收㧃（收）守𡬮（守）𡬴（守）首𩠐（首）𥃻（首）𦣻狩獸手𠂿扌擻
ʔɤɯ2	齵聱牛
ʔɤɯ3	偶遇㼴耦蕅藕髃吘
ʔɤɯ5	偶𪖐
ʔɤɯ0	□（句尾有所釋用之）
piɤɯ1	髟彪+驫不
pʰiɤɯ2	淲瀌𩖛
miɤɯ2	鷚繆䋷
miɤɯ5	繆
tiɤɯ1	丟（似俗字也）投？𢫹（投）？
niɤɯ1	□（以手掐之）𩅸？
niɤɯ2	牛𨶪摎憀㳅留畱流琉硫裗蒥嵧𤠑旒泵𥹷瑠榴劉𠭱（劉）瘤瑬疁𥰣𦃓駵𢷶鎦餾䱖䚧𪎣瀏鎏懰鏐飀騮𪕚䉧鰡鶹𣠚䬟𪆱遛飂勠𠝧（勠）䖻蟉鏐由
niɤɯ3	𨙺扭狃杻䏔莥紐𦱙鈕㺲（鈕）禸𠘯𢔟𪕋瀏懰䉧𧂜蔞珋柳桺丣（柳）𣓠（柳）𦊑𨋖𩖴綹罶鋶熮嬼茆妞（高麗姓）
niɤɯ5	猱狃𩚖腬糅窌畂廖溜澑畱留瘤餾嬼㙀塯廇𥛅䄂（𥛅）霤飂㽌鷚翏僇勠𠝧（勠）謬
tɕiɤɯ1	揪揂啾揫𩭓鬏𣟼湫逎遒䎿蝤鮂稵龜𠃾（龜）𠁴（龜）𤕣（龜）𦫶㽱丩勼𠠳朻䡂鳩𨷺鬮㽱𠃚朻𦭺樛㢧九灸
tɕiɤɯ3	酒朻糾赳𨷺鬮九久𡚮𡚰玖韭𨾉
tɕiɤɯ5	媨䅢僦愀湫就㠇殧鷲究𡫄（究）灸㝌疚救㲃廐廄𨖏𠣿𧧷廏𠤙（廏）猶𨗋𣓌臼咎处桕倃䊆舅𤷑䛮䳎麔齨𢛃蟉柩舊匶𧾻
tɕʰiɤɯ1	䵸𪓰𪓵秋𥤛（秋）𪚼（秋）龝（秋）𪔁（秋）秌萩湫楸篍𦃈緧趥䨂鞦鞧蟗鶖鰍鰌𦝱䐐
tɕʰiɤɯ2	鰌酋崷遒逎（遒）㥢煪䎿蝤𧤕𦵩慒囚汓泅鮂苬仇艽捄頄馗厹扏㧨（扏）叴犰朹肍𦬖求九（渠尤切 國名）氿䊵䣇俅䜪訄訅莍㭝逑釚𡨃球梂殏毬𢛃裘蛷𥭑𧚍絿𧻱巰賕䟵璆銶𩒮鼽𧒔脙𦜵蟉鷚虯觓𤙠觩璆
tɕʰiɤɯ3	取糗
tɕʰiɤɯ5	䞭䠗𪖛宿（㝛俗字）㝛夙（㝛）
ɕiɤɯ1	修脩羞樇𩛢䡭𩝧饈休咻㹯庥脙㾋𦜵貅髤髹𩢮㵻鵂䰍烋飍
ɕiɤɯ2	嗅
ɕiɤɯ3	醙䤇𨤇（䤇）滫綇糔𦄼殠㽲朽㱙投（訓讀 洋文shoot）？𢫹（投）？
ɕiɤɯ5	宿（㝛俗字）㝛夙（㝛）秀琇銹莠繡鏽蜏鏥岫𥥉袖褎褏（袖）牰臭嘼珛嗅溴齅畜
tɕʰiɤɯ1	惆㲃蓲區丘㘳（丘）丠邱坵恘蚯訄𠁫
iɤɯ1	妋𢕶獶𢆶怮麀憂𠪍（憂）𨗫（憂）鄾優𧀥嚘𢖒瀀櫌㱊𪋎耰纋𢆶呦泑怮幽𣢜𧍘悠
iɤɯ2	腄尢尤怣（尤）沋𣏞肬郵訧优（于求切 五穀精 如人髮白也）鰇𪐤囮㘥甹抌䱔䚻繇蘨𦥝舀冘攸悠由邮油斿𨒰𠧴𠧷秞䍃浟蚰偤𦳷𣔴猶㾞遊汓（遊）𨓎（遊）游汓（游）𦵵楢鈾猷蕕蝣輶鮋𧡹𨙂櫾邎𨙃𨘺卣𠧪（卣）庮𤪎㳛兪揄𢋅
iɤɯ3	眑泑怮𣢜䬀黝蚴懮䬀䱂友𠬺（友）𦐮（友）𦫹（友）𦐯（友）㕛又有𠂇（有）䒴銪䳑𥁓䀁栯㝌琇輶酉丣卣𠧪（卣）羑莠庮梄𦍶𥟁蜏𣣸槱牖𦏇𨣆𤪎㕗䛻
iɤɯ5	幼𠣎（幼）忧又右佑𤴨侑囿宥祐𨳾（祐）姷𥁓䀁𦳩䞥酭𩑣蜼褎油猶輶櫾蜏𤍕槱狖柚牰釉貁鼬𪕏誘羐（誘）
pʉβ1	逋峬庯晡鋪鈽𧻷誧𥂈鵏抪餔秿陠鯆
pʉβ3	補𢒏（補）
pʉβ5	部伏復𢕛（復）𠣸（復）椱𢕒𤸑複𨺅覆布㱛（布）佈抪𠜙𧉩怖悑部簿鞴捕哺鵏步𨛒荹捗埠𩢕餔𤸵𩣝䒀鮬
pʰʉβ1	誧豧𥠵陠𢼹痡𨁏鋪䮒𧱹鯆𩹲墲
pʰʉβ2	浮包荹捗伏匍菩葡蒱蒲蜅䔕酺䈻苻樸鳧
pʰʉβ3	圃譜𧫭諩潽誧埔浦烳普溥氆鐠甫父鯆莆脯簠𠤱（簠）𦻌（簠）黼郙俌𥙳（俌）蜅輔
pʰʉβ5	誧𤸵鋪舖步
fʋ̍1	不𠀚（不）𠙐（不）紑鴀哹䍍紑𡫺肧衃醅秠䬌夫邞伕呋㠸妋玞肤䃿䄮衭趺拊胕𧿤跗鈇鳺膚𩵩𩿧𧀴扶𢻳（扶）𢱿（扶）簠𠤱（簠）𦻌（簠）柎𩬙䒀姇荂㕊怤䓏尃㲗𥹃紨䓵蓲稃筟𨞻鄜豧桴孵麩敷旉（敷）䎔㩤糐𧀮麱䱐𣞒苻孚𤓽（孚）泭俘郛𡎽（郛）莩桴罦郙秿殍痡鋪？誣婦𢽰（婦）
fʋ̍2	棓䍌䱐芣枹罘𢀼𦮹哹䍖浮琈桴烰涪罦𧕰蜉艀鉜𡦄粰䨗𥰛䳕掊瓿夫𣘧扶𢻳（扶）𢱿（扶）芙𢺻苻枎泭玸枹𦔾蚨胕符𧥱𤱽鳧颫𢞦榑𣻜𦽏𦑹𣿆坿𣻥巫𢍮（巫）𢀣（巫）誣莁
fʋ̍3	㕮斧府俯捬𥒰腑蚥𧉊頫𢻬拊弣𠛺俌𥙳（俌）𠟌䋨撫𨑟（撫）䌗䯽䞤殕䪔㕮𨥏釜（𨥏俗字）釡（釡俗字）滏輔腐䩉鬴嫵娬
fʋ̍5	輻富䔰鍑㤱副𤸑褔覆𩯅仆阜𠻰（阜）𨸏⻖⻖負𨹺𦰺偩婦𢽰（婦）萯服㷆𧌈蝜䘀𪃓䧞菩阝搏付仅咐陚傅𩬙賦䞳豧簠𠤱（簠）𦻌（簠）赴䟔訃婏䞯𠓗仆䎷父蚥㾈秿䭸𩾿𩒺拊捬跗胕附坿祔袝蚹䠵駙𠪻鮒賻
tᵊʉβ1	都𨛷（都）𦘴嘟（美詞）醏闍𥳉𧷿䩲
tᵊʉβ2	□（鳴笛音）
tᵊʉβ3	楮堵帾暏睹覩賭土肚𥀁㕆䁈琽肚杜渚
tᵊʉβ5	秅奼𦘴妒㓃宅詫咤𤴱妬橐秺㓃螙殬蠹斁𤬪杜肚荰𡍨靯𥀁𢾖土度𡧪（度）㡯（度）渡𥯖鍍塗斁
tʰᵊʉβ1	𡸂䞮嶀㻬㻯捈庩㻌梌稌䩣悇塗（限 ）
tʰᵊʉβ2	啚𠴿（啚）𣘻鍍𨑒余䣄捈荼土杜徒𠫠（徒）峹途涂梌𤙛屠㭸蒤筡嵞瘏塗䣝酴圖𡈖（圖）𡇴（圖）廜䅷䤅䖘𤺈駼鵌鷵菟
tʰᵊʉβ3	芏稌土圡吐釷杜（限 ~狗子）
tʰᵊʉβ5	吐兔堍菟鵵唾
lᵊʉβ1	□（免職）
lᵊʉβ2	擼嚕㭔𧆨玈𧇄𤴅（𧇄）盧𦿊壚攎蘆獹瀘𢐸瓐櫨𤮧㪭爐矑㿖蠦罏籚艫纑轤鑪顱髗䰕鸕鱸黸㢚廬（限 ~山）蘆㠠𡫽蒘如𨚴茹銣𨾵蕠鴽𥨲洳𪋯需懦儒薷嚅獳濡嬬臑襦蠕繻䞕醹顬䰰鱬㼱𠬫（㼱）蔞
lᵊʉβ3	㭩鹵虜㔪𢲸蓾滷樐魯𣥐（魯）擄㢚𧀦櫓艣鏀鐪鑥䲐氌𡫽㼋女𠨰（女）茹汝肗𪏮薷醹乳擩鱸
lᵊʉβ5	㿖輅賂路蕗潞璐𦌕簵簬𤻱露虂鷺如茹洳𡦗孺擩㹘乳籲
kᵊʉβ1	𡗷咕沽夃（沽）泒孤姑柧㼋罛菰菇蛄辜𢩍（辜）𢻄（辜）𡱨（辜）𡲞（辜）軱酤觚𠷞箍箛嫴鴣橭𧇡䐻䉉𨬟𨬕盬苽笟呱胍𣲖故（限 無理不~）家𠖔（家）𡩅（家）𡧚（家）？俱
kᵊʉβ2	鼓？𩉲（鼓）？
kᵊʉβ3	估沽夃古𠖠𡇣𠒂股骰牯𦙶罟𦊖（罟）苦羖𦍩焸鼓𩉲（鼓）鼔鈷皷𥂩臌瞽盬蠱賈骨（北語 ~董）？垢離（離瞀 山也）？果
kᵊʉβ5	沽夃（沽）酤固怘（固）故古𠖠𡇣凅㽽崮棝雇頋䍛稒痼僱錮鯝鈷顧𪄮（顧）過（古禾切）？股
kʰᵊʉβ1	軲橭扝刳郀古（~成氏）𠖠𡇣枯㱠跍骷䉐鮬挎㢪𢎰
kʰᵊʉβ2	𪏻
kʰᵊʉβ3	苦𥯶
kʰᵊʉβ5	苦（困也 姓氏）庫袴絝䔯褲胯跨
xᵊʉβ1	苸呼𠰗（呼）烀恗虖軤𧦝雐嘑滹歑幠膴䰧謼葫虍𧇁（虍）戲乎
xᵊʉβ2	䉉𠂞虖狐弧瓳沍胡壷𠻭（壷）𠴱壺鈷葫猢𪕮𪕉𪕾湖瑚𩑶㾰𧛞𧍵蝴箶衚魱糊𩰯𪍒𪐉䉿𪏹㯛醐𪏻餬鬍鶘𪍒𥶜𪕱瓠䊀𠀒符𤖱
xᵊʉβ3	虎𧇂（虎）虝（虎）𪊖（虎）𨛵萀琥䗂許滸戽𣶉
xᵊʉβ5	謼呼戽酤雇戸戶㦿（戶）𣥘（戶）㕆帍昈岵怙戽𣶉𡜂祜苦扈𡴱（扈）婟鄠𡻮滬𨛸熩𩿇簄𪄮枯楛洿芐互冱𦬚枑𦊂䇘𪏳瓠𧥮沍婟嫭擭濩護䨼韄頀鱯詁冴婦（鄉又音）𢽰（婦）
ʔᵊʉβ1	惡亞（惡）扝圬污㢪杇洿烏𤚶（烏）𥾪（烏）釫鄔𦶀嗚㮧歍螐鴮鎢鰞瑦於𣱏（於）𤕘（於）盓汚𢎰五𠄡（五）㐅（五）務汙
ʔᵊʉβ2	膴蝥瞴嘸无𠑶（无）毋𢃀無𣟒（無）𣚨（無）𠘩（無）亡兦橆𨼊墲蕪璑鵐䉑譕鷡𢜮憮䍢𦌬胡魚（童語）𤉯（魚）鬍
ʔᵊʉβ3	鄔䡧摀瑦𧽋隖𨻑（隖）塢嵨𢄓溩䃖䛩埡毋
ʔᵊʉβ5	噁（喑噁）惡亞（惡）肟䜑埡汙汚（汙）嵍蝥敄務㡔婺𦎦𨂣霚䨁霧騖鶩𦆞
tsᵊʉβ1	租蒩都䐗豬藸瀦櫫沮𧄗䶥菹𧄔諸𢒕（諸）藷㶆櫧䃴蠩列邾株㦵袾蛛跦誅鴸𪏿鼄搊㑳朱侏咮𤝹珠硃秼絑鴸鮢姝茱兪
tsᵊʉβ3	蒩珇祖𥘲（祖）組䔃靻褚𢁼䘢䍆詝㤖𤲑著貯𡪄陼煑煮䰞丶𪐴拄柱斗枓主宔麈炷砫
tsᵊʉβ5	作（後專作做）𢓓（作）做觕粗伹駔麆粗𧇣秨阼胙飵𧃘著箸𣥧（箸）茅宁芧佇苧杼眝竚羜紵𦂂（紵）除（去也）筯箸𣥧（箸）㾻阻俎阻詛𥛜（詛）謯（詛）齟鉏耡助麆𢉙翥𡻠㫂𤳐䬡䭖𤳯䘄亍咮祝（陟慮切）住壴軴註鉒駐𨙔柱跓嵀逗牏住𧱛䝒澍罜㹥注炷𠴦疰祩蛀䎷主註馵䪒霔㺛鑄𤎧（鑄）著燭（燭謂照也）䖕
tsᵊʉβ0	著
tsʰᵊʉβ1	觕𤿚麁麤麆𧆓𥼡粗摴樗㯉攄筡𠿝嘔
tsʰᵊʉβ3	杵処處
tsʰᵊʉβ1	𤠾貙
sᵊʉβ2	殊𩪍袾䇬
tsʰᵊʉβ2	䢐徂𡲂（徂）𡲡（徂）殂𡲂（殂）𣧫（殂）𡲡（殂）𣨖（殂）𣨐除蒢滁篨𦿀躇櫥儲宁涂屠藸著諸㾻蜍𧄔稌裯厨趎廚幮櫥蹰躕殊（又）
tsʰᵊʉβ3	𧆓蔖楮褚柠楚𣕪濋䙘礎齭𪓐齼憷䑕暑黍鼠𧑓癙數藷（俗新）薯（藷俗字 俗新）
tsʰᵊʉβ5	醋酢絮悇㾻楚𣕪儊䖏處処？抒？紓杼𣏗𢨸䦌𨳳䜴䐢菆處
sᵊʉβ1	甦酥穌蘇蘓㢝𣩷𣩕釃𦌿疋⺪𤕟𥿇𤕠疎疏㽰綀踈䟽𨛭書除豫紓舒俆荼𦺗鵨瑹橾兪㡏毹螋樞鄃輸隃粟（限 蘆~ 御蘆~）𥾄（粟）𥸫（粟）𥹟（粟）𠧼（粟）䅇（粟）楚𣕪
sᵊʉβ2	𠘧殳𢎦杸軗朱陎殊㼡㸡𦤂洙銖
sᵊʉβ3	齭疋䝪𠩄糈盨籔數蔬（粒也）
sᵊʉβ5	泝𤤐素𦃃傃索（蘇故切）蘇蘓訴㨞塐嗉塑遡溯愫膆愬𤢘䛾𧪜蔬疎疏踈䟽捒㫹墅野埜（野）𡐨（野）杼（常恕切）𣏗署薯（俗藷字）曙糬藷恕㣽（恕）庶𤈲（庶）𠦜（庶）𠪌（庶）𠩽（庶）𠪛（庶）㵂樜㡏捒數裋竪豎樹𡬾（樹）𣕒（樹）𣚤（樹）𦒸𠊪尌澍樹𡬾（樹）𣕒（樹）𣚤（樹）諭权輸戍㲓兪腧𧼯䠼䩱隃
ʔᵊʉβ2	鋘牙吴吳𡗿（吳）𡗾（吳）郚䓊唔㹳浯娪珸㻍梧祦𧋋蜈𦨳𪁙鯃鼯牾𦨼峿麌齬湖
ʔᵊʉβ3	五𠄡㐅午伍仵旿膴䍙瞴嘸𤍍𣞤武母侮㑄（侮）㚢（侮）𢘃（侮）珷𢜮碔倵舞𦐀（舞）㒇廡潕憮甒儛䳇𢋑鵡𦌬䒉敄？悟語吾𠮣（吾）
ʔᵊʉβ5	遻蘁迕忤捂啎牾逜悟𢛤（悟）悮悞晤𣅎（晤）焐痦䎸誤寤窹娛戊燠灹（燠）𤈰（燠）
pɛ̃1/piɛ̃1	扳班𤼬（班）般（同班）𦨗（般 同班）斑頒斒𠔯癍辬鯿朌肦鳻螌䰉斒虨攀（俗音 折也）
piɛ̃3/pɛ̃3	板瓪昄版舨鈑蝂胖闆（俗以為老闆字 似不然）
piɛ̃5/pɛ̃5	湴埿阪昄魬辦瓣釆𤓳（釆）辨扮
pʰiɛ̃1/pʰɛ̃1	扳眅攀𡴂𠬜盼
pʰiɛ̃2/pʰɛ̃2	𨂝𤖭淜□（~子）
pʰiɛ̃3/pʰɛ̃3	眅闆
pʰiɛ̃5/pʰɛ̃5	盼𥌊盻襻絆？
miɛ̃1/mɛ̃1	蠻
miɛ̃2/mɛ̃2	姏䅼鬘𪑪蠻𪈮獌謾樠
miɛ̃3/mɛ̃3	㛧𩛎錽𡕢𢨔𦺖矕𥇅晚𣆛（晚）
miɛ̃5/mɛ̃5	𦱏𦲯㾺僈𣍑慢漫（同慢 亦作僈）嫚熳縵謾蔄鬗曼蔓獌澫䡬䝡娩䨲輓㿸卍脕𦂔𨞼蟃贎
fiɛ̃1/fɛ̃1	䒦𣢲帆𩗋（帆）颿蕃潘藩轓籓鱕鐇番𥸨（番）𥻫（番）幡翻旛轓𤃳飜𤄫繙反（平反）+𠬡（反）+𤄜
fiɛ̃2/fɛ̃2	凡柉𦨲𠆩氾番𥸨（番）𥻫（番）墦蕃藩旛笲𥿋棥煩緐樊㺕璠𢶃薠膰燔𥢌繁襎羳𢐲繙蹯籵（蹯）蘩礬𨆌鐇瀿蠜䪤𩐏䮳𧢜𨟄鷭𪖇蟠袢
fiɛ̃3/fɛ̃3	𦜒釩阪坂橎反𠬡（反）返䡊
fiɛ̃5/fɛ̃5	姂𠆩氾汎釩䒦泛𥁔䀀犯𤝑（犯）𢒿（犯）范軓笵𧍙範帆𩗋（帆）颿梵反畈販汳𣀔㽹奿㤆𡗹𨠒嬎嬔㪻𠠵娩䪻笲飯軬閞𧉤𥹇飯飰𩚳㶗乏𠓟（乏）番𥸨（番）𥻫（番）發
kiɛ̃1	甘𠙸（甘）𠙿（甘）苷泔柑疳䇞𤯎咁媣淦浛（姑南切）蜬䶃䌠弇𢍔（弇）𥦦（弇）尲瑊緘䌠𪒹黬玪尷監𧨭（監）𧩾（監）譼（監）礛𥌈鑑咸迀忓玕𤥚（玕）肝㿻𢧀𨝌鳱漧干邗汗奸（犯也）乾𠄋（乾）𡯋菅𦭂（菅）葌䔵
kiɛ̃3	䇞𠭖𣪏敢𢽤澉橄感𢦡（感）䃭鱤䤗贛𧆐灨贑㔶𥸡灝堿碱減𥳒矸仠𤿊秆衦皯𥾍桿笴稈趕䵟擀𦼮簳靬蕑覸覵閒𨳡（閒）𨳢（閒）柬揀暕簡𥳑㶕𤄒襉𧟉僴僩竿（古旱切 古寒切）
kiɛ̃5	淦紺贛𧆐灨𪉦㔋𥌈𪉦䫡矸杆犴旰竿（居案切）盰倝𣵼骭幹榦𧹳𢁗覸襇襉𨣇𧙧覵閒𨳡（閒）𨳢（閒）鐗澗㵎諫𧧅（諫）鐧
kʰiɛ̃1	𤬪𤯌𤯎撖𢦟堪嵁戡𩑟龕㪁坩嵁厱鵮𠔺𢽣嵌靬𣓁刊栞看臤豻馯鬜臤掔慳𩋆顅鬝鬜𧢞羥鉛凵（集韻又音）
kʰiɛ̃2	含鉗箝函
kʰiɛ̃3	凵坎砍（俗字）莰埳惂歁輡顑轗竷臽𥦶錎䖔𠪚撖𢜩㦿𣓅槏歉䫡䫡侃𠈉（侃）衎齦限？
kʰiɛ̃5	𪉿闞𣊟瞰監嚂勘轗竷崁䘓𧗀磡𪉯歉䫡靬侃𠈉（侃）偘看衎䳚艦？
xiɛ̃1	𧵊憨𠐣歛嬜𣢺谽𡪶𩈣馠𡬖唅㟏𧮰妗𧍧㰹䩂頇鼾嫨羴獾貛陷殷（幺閑切）
xiɛ̃2	𤯎酣魽邯甝䗣炶煔含肣函𠥴圅梒𤭙浛（胡南切）鈐𠥴𣻦淊淦澏晗焓涵𠗴筨𣹢蜬䈄鋡䨡䤴䶃𩄙𢎘頷顄𩔞函㮀椷鹹稴鰜咸㮭輱醎諴𩤥啣銜甉虷邗邯寒𡫮（寒）𡫾（寒）𦺦韓𩏑𧃙汗榦翰䮧鶾瞯慳閑閒𨳡（閒）𨳢（閒）硍蛝憪嫺𥊺癇藖𩦂鷴鷳降（下江切）夅（降 下江切）
xiɛ̃3	喊㯺嚂𡒓䫲喊闞鬫欦厂䍑罕䍐蔊焊暵熯灘潬（灘）䓍旱𡷛皔䛞軒（呼旱切）限
xiɛ̃5	𧵊䖔蘫𩞿䫲肣涵𢎘𢇞莟菡𢃗淊蜭𡻡撼頷𡣊顄𡣔頜欿憨㺖䗣譀䐄𤎡含唅浛（胡紺切）琀莟蜭憾䐄㺖豃闞鬫㒈譀喊㺝減甉𡞣㺌𥻇餡豏撖㺝㔋轞𨏊檻壏濫（胡黯切 胡暫切）𥽏㯺㽉臽𥦶陷䐄錎餡䱤厂罕䍐漢㵄𣶔暵熯𤳉䎯𡅽𤅩豻忓矸扞鼾𧃙汗㢨垾桿捍悍㪋閈釬䏷𤿧馯銲螒翰駻雗瀚䮧𩹼㲦捍橌憪僩𤡥硍㹂限䁂䦘骭娨藖莧粯麲
ʔɛ̃1	殷（幺閑切）
ʔɛ̃5	晏曣㬫
tsiɛ̃1/tsɛ̃1	篸糌䐶簪兂（簪）𥯓（簪）䍼鐕𥸢撍鵮詀䩇𪉜𥩠站譠㣶
tsʰiɛ̃2/tsʰɛ̃2	慚㨻慙𩈻䳻鏨
tsiɛ̃3/tsɛ̃3	昝坅寁撍䭕旵𠐩斬嶄攢趲𩯳䰖拃䩆䎒琖盞醆𧣴喒
tsiɛ̃5/tsɛ̃5	篸撍歜䰼㔆㣅嵌槧㟛鏨暫蹔鏨𪉜𣳤站偡湛㴴譧詀賺𧸖𩈻𩅼覱蘸巉瀺嵁嶃嶄䳻欃艬讒鑱䪌儳𨼮䪌攅䟎攢趲𡳋賛鄼濽贊讃灒㜺欑襸𩯳讚饡𩛻（饡）䬤（饡）䰖䟎趲瓉瓚禶𣧻碊䏼𡂐囋㜺瓚穳袒䋎綻孱湔淺㟞濺𣽖棧輚嶘虥轏𠊩䗃驏𪘪棧䗃輚𧮺虥棧𨵊塹
tsʰiɛ̃1/tsʰɛ̃1	參𠫰（參）朁（參）傪㜗䟃驂攙飡湌餐䉔喰
tsʰiɛ̃2/tsʰɛ̃2	䣟𨅔蠶䗝撏攙𢽝獑毚儳酁㺥欃讒饞𪖎𪗂漸（鋤銜切）鏨獑毚酁嚵巉艬鑱劖嶃𣦻𣦼㱚殘䏼𥂥戔帴𤣆孱僝潺䡲𨬖孱𡎻潺䡲𨬖
tsʰiɛ̃3/tsʰɛ̃3	傪㜗慘憯黲朁䫩噆黲䑎䤘醶丳剷㦃䐮鏟剗羼㹽產産
tsʰiɛ̃5/tsʰɛ̃5	參𠫰（參）朁（參）㽩謲儳嚵摲懺𤮭㺖㛑粲薒璨燦𪆶㬄㾺鏟䴼羼
siɛ̃1/sɛ̃1	參𠫰（參）朁（參）三弎𢁘叁鬖犙毿蔘髟纔彡芟衫穇縿𩌰摻𩃔𩃢攕櫼纖杉䀐𩁺㺑檆𩌰𨏪攕𦙽𦙱𦚻䈀𥮚姍㛽（姍）珊𡜜跚𨀢山邖舢疝𣧱狦𣧺潸訕汕
siɛ̃3/sɛ̃3	㧲䊉𢕕糂糝糣䫩槮㨻㺑摻醦𧀵㺑傘𠍘𢄻䉈𥷭（䉈）糤繖鏾饊㪔散枚（散）𢿨𣀧𢽳產産嵼滻㦃㹌簅𩥮𥽽摌潸
siɛ̃5/sɛ̃5	三（再三）+弎（三）+俕㤾閐䫅䀐釤㣌帴䈀𥮚繖𦇕散枚（散）𢿨𢿱𣀧狦疝訕䴮赸𦌔柵
tiɛ̃1	妉眈耽𤯉（耽）𡖓酖媅𧡪甔湛㴴（湛）頕儋聸擔甔襌丹𠁿（丹）㣋（丹）𠕑（丹）單匰鄲㠆殫䐷癉簞
tiɛ̃3	䒞紞膽䃫𪆻黵瓭耽𤯉（耽）𡖓衴黕䉞𥴶丼抌䪴笪担疸亶𤺺狚觛嬗
tiɛ̃5	𧭃擔甔𩈉馾𩾺淡噉澹憺𥲄氹惔啗濫（杜覽切）啖？淡氮腅澹憺倓惔𤁡贉䀍𧗜瞫醰𢘇笪疸旦狚㡺觛鴠繵但疍蛋蜑觛誕𧩙僤䩥膻潬袒襢澶撣但胆僤憚彈𢎝（彈）答
tʰiɛ̃1	聃𨈭䔜舑坍㘱㴂𦸁䆱緂欿貪㵅探僋撢嬗痑㨏嘽漢㵄𣶔擹攤灘潬（灘）癱譠嘆𡂥（嘆）𦧴誕
tʰiɛ̃2	㶣炎淡餤澹倓郯惔痰談𥰨錟眈㽎蕁覃𪉙（覃）𪉞（覃）𪉲（覃）𨝸沈潭橝曇㽑𦗡藫罈（甔俗字）䊤𧽼壜罎𧂇𧂗譚𩡝鐔燂蟫儃繟聅癉胆撣但彈𢎝（彈）壇檀貚鷤驒唌驙繵
tʰiɛ̃3	裧忐菼毯𦵹𤎥𦃖緂𠪚䏙𥁺嗿醓襑黮啖啗坦䦔鉭
tʰiɛ̃5	澉𪊇睒䆱舕賧𪉧誩𧮣（誩）㶒傝憛探僋撢䐺㐁𠀬（㐁）𧡪萏窞髧嘾禫𣛱䨢𧂄贉𥥦倓䊤醰譚黮炭湠㛶𣁗碳嘆𡂥（嘆）歎？坍
niɛ̃1	然？𤓉（然）？
niɛ̃2	喃+諵+
