来源：	史秀菊 张丽 2014《山西兴县方言同音字汇》；山佳木 整理录入
ø	［1］剜豌［3］碗皖［2］丸完［5］腕□{崴～了脚咧}
#yẽn	
l	［1］□{骨～：“圈”的分音后字}［5］圇{马圜～：地名}
tɕ	［3］捲［2］捐［5］圈{猪～}卷倦绢眷
tɕʰ	［1］圈{圆～}［3］犬［2］权全拳泉颧［5］券劝碹{～窑：卷窑洞}
ɕ	［1］揎{～开门：一般指用非四肢部位推开门}□{吹嘘}喧宣轩［3］选［2］悬玄旋{-转}［5］旋{～吃～做：边吃边做}镟楦{鞋～子}□{～子：脸盆}
ø	［1］冤［3］远□{游～：蚯蚓}［2］援{阎～王爷爷}猿圆员袁辕原元园源渊蜎{虫子爬行}［5］箢{～子}怨院愿
#əŋ	
p	［1］奔崩绷锛□{转～罗：小孩原地转圈的一种游戏}［3］苯本［5］笨蹦泵
pʰ	［1］喷{～水}烹［3］捧［2］盆棚膨彭鹏朋蓬［5］碰
m	［1］焖猛虻［3］蒙{～古}［2］门萌盟［5］梦闷孟
t	［1］灯登蹬［3］戥{～子}等［5］凳磴{圪～：台阶}镫{马～}瞪澄{～干}邓
tʰ	［1］吞藤［2］眷疼腾［5］□{打：挑唆、起哄别人干一些不好的事：～打的那个孩子打人去咧}
n	［2］能［5］□宁愿
l	［3］冷={～冻}［2］棱笼{灯～}［5］楞愣
ts	［1］榛臻甄争睁={读书音}曾{姓}增［5］锃{光～～地：光滑}圳赠挣铮筝缯{绑；扎：～辫子}
tsʰ	［1］抻{拉；扯：越～越大}［3］碜{食物中杂有沙子}撑铲{动词}［2］岑沉层曾{～经}［5］衬蹭
