"id","hanzi","note","ipa","audio","ntd","dl","databse","py"
178,"耍",,"ɕʷo","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xuo3.wav",3,"阴上","zg","xuo3"
179,"弦",,"ɕỹ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xun2.wav",2,"阳平","zg","xun2"
180,"悬",,"ɕỹ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xun2.wav",2,"阳平","zg","xun2"
181,"旋","(旋吃旋做)","ɕỹ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xun2.wav",2,"阳平","zg","xun2"
182,"玄",,"ɕỹ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xun2.wav",2,"阳平","zg","xun2"
183,"镟","(镟床)","ɕỹ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xun2.wav",2,"阳平","zg","xun2"
184,"朽",,"ɕy","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xu3.wav",3,"阴上","zg","xu3"
185,"眩",,"ɕỹ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xun6.wav",6,"阳去","zg","xun6"
186,"荀",,"ɕyŋ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xung2.wav",2,"阳平","zg","xung2"
187,"迅",,"ɕyŋ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xung5.wav",5,"阴去","zg","xung5"
188,"训",,"ɕyŋ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xung5.wav",5,"阴去","zg","xung5"
189,"帆",,"fɑ̃","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/faun1.wav",1,"阴平","zg","faun1"
190,"番","(几番)","fɑ̃","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/faun1.wav",1,"阴平","zg","faun1"
191,"翻",,"fɑ̃","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/faun1.wav",1,"阴平","zg","faun1"
192,"藩",,"fɑ̃","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/faun1.wav",1,"阴平","zg","faun1"
193,"藩",,"fɑ̃","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/faun1.wav",1,"阴平","zg","faun1"
194,"凡",,"fɑ̃","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/faun2.wav",2,"阳平","zg","faun2"
195,"烦",,"fɑ̃","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/faun2.wav",2,"阳平","zg","faun2"
196,"矾",,"fɑ̃","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/faun2.wav",2,"阳平","zg","faun2"
197,"繁",,"fɑ̃","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/faun2.wav",2,"阳平","zg","faun2"
198,"反",,"fɑ̃","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/faun3.wav",3,"阴上","zg","faun3"
