	注释：-白，=文
kʰ	[1]康糠龛[2]狂□{咳嗽声}[3]慷矿犷□{撞}[5]抗囥{藏}旷况
ŋ	[2]昂[6]□{狗～～：狗尾草}
x	[1]□{恐吓}[2]行航杭降{投～}[3]项-{下颚}[5]巷[6]□{竹～：晒衣竹竿}项=[7]□{稍微晒，烤过}
∅	[1]庵秧{～子：鱼苗}[3]□{茂盛}[5]暗
v	[1]汪[2]亡王黄[3]网=往枉[6]望=旺
#ɤŋ	
p	[1]枫-[3]捧-蚌[5]□{投石落水声}[7]蓬{个～：一簇}
pʰ	[1]蜂-碰=[2]冯蓬篷[3]捧[5]缝{～隙}碰{～和}□{罩起来}
m	[1]懵-[2]蒙=[3]懵-[5]濛[6]梦
f	[1]锋蜂=峰风疯枫=烘丰轰[2]红虹逢缝弘宏鸿□{衔}[3]讽捧=[5]□{摇动树木}[6]奉凤俸
t	[1]东咚冬[3]董懂[5]冻栋□{山脊}[7]潭
tʰ	[1]通捅[2]同铜桐秱童瞳彤[3]统桶[5]痛通{透过}[6]动洞恸恫峒垌{黄土～：地名}[7]虫-
l	[2]笼聋=农脓砻[3]笼陇垅拢[5]弄巷子□{～～空空：空空荡荡}[6]弄=
ts	[1]中盅钟锺宗棕综鬃淙春终忠衷[3]总种肿[5]粽众种{～植}[7]丛-{个～毛：一撮毛}
tsʰ	[1]聪葱冲={～锋}充囱=深-[2]虫=重{～复}崇丛[3]宠□{凸起}[5]铳冲-{冒出}[6]重={～量}仲
s	[1]双[2]□{傻}[3]□{推}[5]送宋[6]颂{穿衣}[7]聋
k	[1]公蚣工功攻[3]□{个～山：一座山}[5]贡汞□{弯曲}
kʰ	[1]空倾-{倒掉}[3]孔[5]控空{～缺}
x	[5]□{应答之词}
v	[1]翁[6]瓮
#i	
p	[1]卑碑蓖屄{吹牛～}蜱{臭虫}[3]比彼[5]背秘泌庇团蔽[7]必毕笔碧逼壁臂
